branch,implementor,task,status,missing_requirements
ruige,ruige,expense-tracker,implementing,expense-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
ruige,ruige,file-manager,implementing,file-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
ruige,ruige,log-analyzer,implementing,log-analyzer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
ruige,ruige,pdf-processor,implementing,pdf-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
ruige,ruige,report-generator,implementing,report-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
ruige,ruige,web-crawler,implementing,web-crawler.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
wenshuo-dev,wenshuo,cache-optimizer,implementing,cache-optimizer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
wenshuo-dev,wenshuo,document-parser,implementing,document-parser.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
wenshuo-dev,wenshuo,image-processor,implementing,image-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
wenshuo-dev,wenshuo,performance-monitor,implementing,performance-monitor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
wenshuo-dev,wenshuo,scheduler,implementing,scheduler.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
wenshuo-dev,wenshuo,search-engine,implementing,search-engine.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
wenshuo-dev,wenshuo,workflow-automation,implementing,workflow-automation.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
xiaochen_dev,xiaochen,backup-utility,implementing,backup-utility.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
xiaochen_dev,xiaochen,code-reviewer,implementing,code-reviewer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
xiaochen_dev,xiaochen,deployment-tool,implementing,deployment-tool.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
xiaochen_dev,xiaochen,error-tracker,implementing,error-tracker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
xiaochen_dev,xiaochen,health-monitor,implementing,health-monitor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
xiaochen_dev,xiaochen,migration-script,implementing,migration-script.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
xiaochen_dev,xiaochen,monitoring-agent,implementing,monitoring-agent.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
xiaochen_dev,xiaochen,security-scanner,implementing,security-scanner.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
xiaochen_dev,xiaochen,status-checker,implementing,status-checker.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
xiaochen_dev,xiaochen,test-generator,implementing,test-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
yuxuan-dev,yuxuan,asset-optimizer,implementing,asset-optimizer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
yuxuan-dev,yuxuan,batch-processor,implementing,batch-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; evaluation/main.py must exist
yuxuan-dev,yuxuan,content-manager,implementing,content-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
yuxuan-dev,yuxuan,network-analyzer,implementing,network-analyzer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
yuxuan-dev,yuxuan,queue-manager,implementing,queue-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; evaluation/main.py must exist
yuxuan-dev,yuxuan,sync-service,implementing,sync-service.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
yuxuan-dev,yuxuan,task-scheduler,implementing,task-scheduler.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
yuzhen-dev,yuzhen,alert-system,implementing,alert-system.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
yuzhen-dev,yuzhen,audit-logger,implementing,audit-logger.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
yuzhen-dev,yuzhen,data-validator,implementing,data-validator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
yuzhen-dev,yuzhen,form-builder,implementing,form-builder.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
yuzhen-dev,yuzhen,invoice-generator,implementing,invoice-generator.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
yuzhen-dev,yuzhen,payment-processor,implementing,payment-processor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
yuzhen-dev,yuzhen,permission-manager,implementing,permission-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; groundtruth_workspace must exist
yuzhen-dev,yuzhen,resource-monitor,implementing,resource-monitor.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
yuzhen-dev,yuzhen,session-handler,implementing,session-handler.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist
zhaochen,zhaochen,api-tester,implementing,api-tester.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
zhaochen,zhaochen,certificate-manager,implementing,certificate-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done; initial_workspace must exist; groundtruth_workspace must exist
zhaochen,zhaochen,load-balancer,implementing,load-balancer.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
zhaochen,zhaochen,markdown-converter,implementing,markdown-converter.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
zhaochen,zhaochen,proxy-server,implementing,proxy-server.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
zhaochen,zhaochen,storage-manager,implementing,storage-manager.json must exist and have non-empty needed_mcp_servers and needed_local_tools including claim_done
